Name/ID	Vertical	Industry	EmployeeQuantityGrowthRate	SalesTurnoverGrowthRate	PriorYearEmployees	 PriorYearRevenue 	 SalesVolume 	SmallBusiness
16451	Health Insurance	Healthcare	0	0.159358	150	 $ 26,151,769.27 	 $ 30,319,250.83 	N
16462	Consulting / Other Professional Services	Professional Services	0	1.431462	30	 $ 6,439,380.37 	 $ 15,657,106.32 	Y
16486	Internet Content & Software	Media & Content	0	2.215709	30	 $ 4,599,557.41 	 $ 14,790,837.50 	Y
16872	Higher Education	Research & Education	0	0	3000	 $ -   	 $ 388,501,656.06 	N
17098	Internet Content & Software	Media & Content	0	0	1	 $ 72,278.76 	 $ 72,278.76 	Y
17124	Cloud Service Provider	Data Center & Cloud Services	0	0.066667	3	 $ 197,123.89 	 $ 210,265.48 	Y
17452	Colo/Hosting	Data Center & Cloud Services	0	0	2	 $ 525,663.70 	 $ 525,663.70 	Y
17539	Consulting / Other Professional Services	Professional Services	0	0.103809	32	 $ 3,416,814.08 	 $ 3,771,509.60 	N
17695	Cloud Service Provider	Data Center & Cloud Services	0	2.488372	11	 $ 1,130,176.96 	 $ 3,942,477.78 	Y
17803	Retail	Other Enterprise	0	0.055556	2	 $ 118,274.33 	 $ 124,845.13 	Y
18095	Colo/Hosting	Data Center & Cloud Services	0	0	0	 $ -   	 $ -   	N
18149	State/Local Government	Government	0	0	630	 $ -   	 $ -   	N
18228	Regional Carrier/ISP	Telecommunications	0	4.88929	13	 $ 1,301,017.67 	 $ 7,662,070.21 	Y
18283	Finance	Finance	4.833333	9.526782	6	 $ 657,079.63 	 $ 6,916,934.02 	Y
18476	Internet Content & Software	Media & Content	0	0.472195	200	 $ 59,399,998.55 	 $ 87,448,387.44 	N
18493	Consulting / Other Professional Services	Professional Services	0	0	1	 $ 55,194.69 	 $ 55,194.69 	Y
18514	Consulting / Other Professional Services	Professional Services	0	0.083333	2	 $ 157,699.11 	 $ 170,840.70 	Y
18727	Real Estate / Construction	Other Enterprise	#N/A	#N/A	#N/A	 #N/A 	 #N/A 	#N/A
18730	Cable & Satellite	CATV/Satellite	0	-0.515	10	 $ 2,628,318.52 	 $ 1,274,734.48 	Y
18834	Consulting / Other Professional Services	Professional Services	1.5	3.781561	40	 $ 2,234,070.74 	 $ 10,682,345.93 	Y
18844	Healthcare	Healthcare	0	0	13	 $ 1,169,601.74 	 $ 1,169,601.74 	Y
19712	Engineering	Professional Services	0	16.29826	300	 $ 30,094,247.05 	 $ 520,578,106.10 	N
19747	Finance	Finance	0	0	0	 $ -   	 $ -   	0
